latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.76805,68.47694,334.3,0.4,0.6,2020-06-01,0748,N,VIIRS,l,2.0NRT,307.4,2.2,D
31.2813,73.86585,335.6,0.51,0.41,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.2,3.7,D
31.01297,70.76206,348.1,0.5,0.49,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.1,7.3,D
31.86307,74.47469,343.1,0.47,0.4,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.7,7.1,D
31.88842,73.83478,340.2,0.5,0.41,2020-06-01,0748,N,VIIRS,n,2.0NRT,305.3,4.8,D
31.88939,73.83707,337.8,0.5,0.41,2020-06-01,0748,N,VIIRS,n,2.0NRT,306.7,4.1,D
31.82666,72.8575,335.2,0.56,0.43,2020-06-01,0748,N,VIIRS,n,2.0NRT,302.1,3.8,D
32.27889,73.42486,333.5,0.51,0.41,2020-06-01,0748,N,VIIRS,l,2.0NRT,304.2,3.1,D
32.34322,72.28814,347.6,0.39,0.44,2020-06-01,0748,N,VIIRS,n,2.0NRT,304.9,4.2,D
28.47462,68.12496,336.4,0.4,0.6,2020-06-01,0748,N,VIIRS,n,2.0NRT,302.4,3.2,D
28.47622,68.12685,339.9,0.4,0.6,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.1,2.4,D
28.30078,67.88699,347.4,0.42,0.61,2020-06-01,0748,N,VIIRS,n,2.0NRT,306.2,6.4,D
28.30281,67.8858,340,0.42,0.61,2020-06-01,0748,N,VIIRS,n,2.0NRT,305.3,3.9,D
27.02639,67.81705,367,0.45,0.63,2020-06-01,0748,N,VIIRS,h,2.0NRT,310.3,13.1,D
27.55859,67.90059,336.8,0.43,0.62,2020-06-01,0748,N,VIIRS,l,2.0NRT,308.6,3.1,D
27.78657,68.79736,334.4,0.38,0.59,2020-06-01,0748,N,VIIRS,l,2.0NRT,305.7,2.1,D
27.68466,67.96513,334.8,0.43,0.62,2020-06-01,0748,N,VIIRS,l,2.0NRT,306.9,3,D
27.65648,67.80114,334.6,0.44,0.62,2020-06-01,0748,N,VIIRS,l,2.0NRT,309.4,1.8,D
27.83656,68.44786,338.6,0.4,0.6,2020-06-01,0748,N,VIIRS,n,2.0NRT,307.5,3,D
27.65425,67.66844,340.5,0.45,0.63,2020-06-01,0748,N,VIIRS,n,2.0NRT,307,3.8,D
27.91197,67.97249,336.3,0.42,0.61,2020-06-01,0748,N,VIIRS,l,2.0NRT,308.5,3.3,D
28.03299,67.67599,367,0.44,0.62,2020-06-01,0748,N,VIIRS,h,2.0NRT,309.9,10.9,D
28.02911,67.67791,345.9,0.44,0.62,2020-06-01,0748,N,VIIRS,n,2.0NRT,308.3,5.3,D
28.03472,67.67621,345.9,0.44,0.62,2020-06-01,0748,N,VIIRS,n,2.0NRT,308.5,7.2,D
28.03363,67.67182,341.5,0.44,0.62,2020-06-01,0748,N,VIIRS,n,2.0NRT,307.6,6,D
30.5832,72.67154,343.2,0.4,0.44,2020-06-01,0748,N,VIIRS,n,2.0NRT,300.2,4.1,D
30.80582,74.46281,339.2,0.49,0.4,2020-06-01,0748,N,VIIRS,n,2.0NRT,306.3,5.4,D
30.80657,74.4593,339.5,0.49,0.4,2020-06-01,0748,N,VIIRS,n,2.0NRT,306.4,4.3,D
29.7846,71.62682,337.9,0.47,0.48,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.4,3.2,D
28.52242,68.1061,333.9,0.4,0.6,2020-06-01,0748,N,VIIRS,n,2.0NRT,302.5,1.6,D
28.60427,68.47136,335.4,0.38,0.59,2020-06-01,0748,N,VIIRS,n,2.0NRT,303.7,1.4,D
31.10798,74.74848,340.3,0.47,0.4,2020-06-01,0748,N,VIIRS,l,2.0NRT,306.9,13.5,D
24.89952,68.86736,338,0.66,0.73,2020-06-01,0924,N,VIIRS,n,2.0NRT,295.3,4.1,D
27.3822,68.35855,331.8,0.64,0.72,2020-06-01,0924,N,VIIRS,l,2.0NRT,304.9,4.4,D
27.22338,67.97187,341.2,0.61,0.71,2020-06-01,0924,N,VIIRS,n,2.0NRT,306.2,5.9,D
28.03199,67.67355,340.1,0.59,0.7,2020-06-01,0924,N,VIIRS,n,2.0NRT,308,8.6,D
33.24114,71.51973,313.1,0.45,0.63,2020-06-01,2012,N,VIIRS,n,2.0NRT,286.7,0.9,N
28.12231,67.89601,306.3,0.67,0.73,2020-06-01,2012,N,VIIRS,n,2.0NRT,292.7,2.2,N
32.72548,73.13857,303.5,0.36,0.57,2020-06-01,2012,N,VIIRS,n,2.0NRT,287.9,0.9,N
32.71746,72.7738,302,0.38,0.59,2020-06-01,2012,N,VIIRS,n,2.0NRT,287.3,0.7,N
28.48174,67.91499,310.7,0.67,0.74,2020-06-01,2012,N,VIIRS,n,2.0NRT,291,2.4,N
28.12309,67.89156,307.7,0.67,0.73,2020-06-01,2012,N,VIIRS,n,2.0NRT,292.7,1.9,N
28.91653,67.78221,305.5,0.69,0.74,2020-06-01,2012,N,VIIRS,n,2.0NRT,290.9,1.5,N
28.19139,68.02793,307,0.66,0.73,2020-06-01,2012,N,VIIRS,n,2.0NRT,291.8,1.4,N
28.37248,68.14626,307,0.65,0.73,2020-06-01,2012,N,VIIRS,n,2.0NRT,290.4,1.8,N
28.17305,67.98457,315.1,0.66,0.73,2020-06-01,2012,N,VIIRS,n,2.0NRT,292,2.6,N
33.40772,71.93742,298,0.43,0.62,2020-06-01,2012,N,VIIRS,n,2.0NRT,281.3,0.8,N
33.40714,71.93567,296.4,0.43,0.62,2020-06-01,2012,N,VIIRS,n,2.0NRT,280.8,0.5,N
28.46425,69.46352,306.9,0.47,0.64,2020-06-01,2154,N,VIIRS,n,2.0NRT,290.6,1,N
27.86018,68.22797,310.4,0.41,0.61,2020-06-01,2154,N,VIIRS,n,2.0NRT,293.3,0.8,N
28.18062,67.88223,315.9,0.38,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.5,1.2,N
28.18796,67.94713,313.5,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.7,1.6,N
28.19954,67.94654,309,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.4,0.7,N
28.23963,67.80151,307.5,0.38,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,294.8,0.4,N
28.37744,67.97955,337.9,0.38,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.3,3.8,N
28.3913,68.08914,324.8,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.3,2,N
28.39229,68.08749,322.5,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.1,2.4,N
28.43066,68.09524,309.7,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,294.8,0.6,N
28.47924,67.91824,315.1,0.38,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295,0.9,N
28.48017,67.91441,307,0.38,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.2,0.9,N
28.52039,68.41975,315.6,0.41,0.6,2020-06-01,2154,N,VIIRS,n,2.0NRT,294.6,1.4,N
28.51954,68.41686,313,0.41,0.6,2020-06-01,2154,N,VIIRS,n,2.0NRT,294.4,1.6,N
28.48485,69.48056,304.4,0.47,0.64,2020-06-01,2154,N,VIIRS,n,2.0NRT,290.5,1,N
28.43752,69.62956,303.4,0.48,0.65,2020-06-01,2154,N,VIIRS,n,2.0NRT,291.2,0.5,N
28.48845,69.48076,302.6,0.47,0.64,2020-06-01,2154,N,VIIRS,n,2.0NRT,290.3,1.3,N
27.76524,67.83381,319,0.39,0.59,2020-06-01,2154,N,VIIRS,n,2.0NRT,295.4,1.1,N
