latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
24.57007,93.64986,346.7,0.4,0.44,2019-12-04,0630,1,VIIRS,n,2.0NRT,291.7,7.4,D
24.18629,91.32647,325.5,0.56,0.52,2019-12-04,0630,1,VIIRS,l,2.0NRT,299.9,6.2,D
24.79934,93.79311,338.9,0.39,0.44,2019-12-04,0630,1,VIIRS,n,2.0NRT,297,2.9,D
24.80452,93.77681,338,0.39,0.44,2019-12-04,0630,1,VIIRS,n,2.0NRT,292.2,11,D
23.69143,87.50656,326.4,0.5,0.66,2019-12-04,0630,1,VIIRS,l,2.0NRT,300.1,2.1,D
25.22775,93.85218,331.5,0.57,0.43,2019-12-04,0630,1,VIIRS,n,2.0NRT,296.5,4.5,D
23.74707,86.4217,331.4,0.58,0.7,2019-12-04,0630,1,VIIRS,n,2.0NRT,299.2,3.9,D
23.75332,86.42004,336.2,0.58,0.7,2019-12-04,0630,1,VIIRS,n,2.0NRT,300.3,3.9,D
23.78042,86.39466,340.2,0.58,0.7,2019-12-04,0630,1,VIIRS,n,2.0NRT,303.8,5.8,D
23.74985,86.42004,346.8,0.58,0.7,2019-12-04,0630,1,VIIRS,n,2.0NRT,302,9.8,D
23.77687,86.39484,341.8,0.58,0.7,2019-12-04,0630,1,VIIRS,n,2.0NRT,303.2,10.2,D
25.30821,92.77433,341.1,0.44,0.46,2019-12-04,0630,1,VIIRS,n,2.0NRT,295.8,11.3,D
24.68505,87.9082,342.3,0.45,0.63,2019-12-04,0630,1,VIIRS,n,2.0NRT,293.6,6.2,D
24.68689,87.90881,367,0.45,0.63,2019-12-04,0630,1,VIIRS,h,2.0NRT,293.8,6.4,D
25.75812,91.95295,325.9,0.48,0.48,2019-12-04,0630,1,VIIRS,n,2.0NRT,291,3.1,D
26.71172,94.68789,334.9,0.49,0.4,2019-12-04,0630,1,VIIRS,n,2.0NRT,291.7,6.3,D
26.76016,94.62624,330.6,0.49,0.4,2019-12-04,0630,1,VIIRS,n,2.0NRT,295.7,5.3,D
25.55506,88.13091,331.2,0.41,0.61,2019-12-04,0630,1,VIIRS,n,2.0NRT,294.6,2.8,D
26.82815,93.25105,334.6,0.39,0.44,2019-12-04,0630,1,VIIRS,n,2.0NRT,298.2,2.7,D
25.01382,83.99377,327.9,0.76,0.77,2019-12-04,0630,1,VIIRS,n,2.0NRT,296,3.6,D
27.61924,95.95632,333.9,0.43,0.38,2019-12-04,0630,1,VIIRS,n,2.0NRT,295.8,6,D
25.01202,83.99393,328,0.76,0.77,2019-12-04,0630,1,VIIRS,n,2.0NRT,295.9,3.7,D
