latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.886652,73.787102,329.56,0.44,0.38,2020-01-02,0820,N,VIIRS,n,1,285.76,1.91,D,0
30.5849,72.197838,332.41,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,290.77,3.38,D,0
30.625471,72.543343,339.85,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,290.19,4.34,D,0
28.727188,70.62487,330.45,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,291.67,4.72,D,0
28.645733,70.689728,327.01,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,286.73,1.71,D,0
28.604181,70.555992,329.55,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,289.29,3.41,D,0
28.446466,69.864403,331.1,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,276.55,4.41,D,0
28.447123,69.868431,329.93,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,280.09,4.41,D,0
28.437031,69.891388,338.46,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,287.34,20.5,D,0
28.450705,70.145332,339.68,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,285.03,4.83,D,0
26.966639,68.578957,329.67,0.45,0.39,2020-01-02,0820,N,VIIRS,n,1,285.81,2.58,D,0
29.917099,70.888924,325.18,0.38,0.36,2020-01-02,0820,N,VIIRS,n,1,287.61,4.08,D,0
29.925125,72.246628,325.06,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,290.77,3.68,D,0
29.912148,72.819458,331.55,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,292.2,2.65,D,0
29.911465,72.818825,332.16,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,292.38,2.78,D,0
29.818655,72.724655,331.01,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,291.1,2.33,D,0
29.297564,71.359352,339.9,0.38,0.36,2020-01-02,0820,N,VIIRS,n,1,288.42,4.38,D,0
29.305593,71.503883,347.01,0.38,0.36,2020-01-02,0820,N,VIIRS,n,1,292.59,11.63,D,0
29.291796,71.502495,331.96,0.38,0.36,2020-01-02,0820,N,VIIRS,n,1,291.84,4.17,D,0
29.11636,70.750473,327.79,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,289.18,3.64,D,0
29.11697,70.75441,330.18,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,289.82,6.84,D,0
29.11367,70.755074,326.95,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,288.63,1.87,D,0
29.099485,70.729507,326.23,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,290.68,7.96,D,0
29.100096,70.733437,328.43,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,285.61,6.16,D,0
28.91398,70.538315,334.58,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,287.77,3.75,D,0
28.910675,70.538986,325.31,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,287.22,1.19,D,0
33.45015,71.60881,327.78,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,284.26,2.47,D,0
33.161278,72.723351,347.63,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,282.86,37.88,D,0
32.26263,71.00499,329.05,0.39,0.36,2020-01-02,0821,N,VIIRS,n,1,290.14,2.73,D,0
32.387745,72.141594,328.78,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,297.57,1.49,D,2
32.388119,72.581879,325.44,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,292.07,2.4,D,0
32.319286,72.225037,331.2,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,293.63,3.98,D,0
32.194229,71.352066,333.13,0.39,0.36,2020-01-02,0821,N,VIIRS,n,1,282.56,1.74,D,0
32.111263,71.030853,330.86,0.39,0.36,2020-01-02,0821,N,VIIRS,n,1,283.85,2.22,D,0
32.274517,72.458717,326.24,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,287.69,1.94,D,0
32.155174,72.298347,328.74,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,293.16,1.73,D,3
31.989325,72.283363,328.31,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,292.05,2.4,D,0
31.937637,73.117577,338.51,0.43,0.38,2020-01-02,0821,N,VIIRS,n,1,293.55,4.88,D,0
31.6388,70.994263,332.03,0.39,0.36,2020-01-02,0821,N,VIIRS,n,1,282.63,2.23,D,0
31.591364,70.970032,332.22,0.39,0.36,2020-01-02,0821,N,VIIRS,n,1,283.31,4,D,0
31.848833,72.967323,331.64,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,292.69,5.43,D,0
